id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
0,The Martian,"
        (The Martian #1)
",Andy Weir,"Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Science Fiction Fantasy,Thriller,Humor",February 11th 2014,"Crown

            ,",384,English,"77,156",4.4,"Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2015),John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015),ITW Thriller Award Nominee for Best First Novel (2015),Audie Award for Science Fiction (2015),ALA Alex Award (2015)"
1,Under the Banner of Heaven: A Story of Violent Faith,,Jon Krakauer,"Nonfiction,Religion,History,Crime,True Crime,Mystery,Crime,Audiobook,Biography,Religion,Cults,Book Club",2004,"Pan MacMillan

            ,",400,English,"10,981",3.98,Colorado Book Award for General Nonfiction (2004)
2,Cutting for Stone,,Abraham   Verghese,"Fiction,Historical,Historical Fiction,Cultural,Africa,Book Club,Health,Medicine,Eastern Africa,Ethiopia,Medical,Novels,Literary Fiction",February 3rd 2009,"Alfred A. Knopf

            ,",541,English,"26,253",4.29,"PEN/Hemingway Foundation Award Nominee (2010),Exclusive Books Boeke Prize Nominee (2011),Indies Choice Book Award for Adult Fiction (2010),Dayton Literary Peace Prize Nominee for Fiction (2010),Wellcome Book Prize Nominee for Shortlist (2009)"
3,We Need to Talk About Kevin,,Lionel Shriver,"Fiction,Contemporary,Thriller,Horror,Mystery,Crime,Drama,Psychology,Adult,Literary Fiction",July 3rd 2006,"Harper Perennial

            ,",400,English,"14,787",4.04,Orange Prize for Fiction (2005)
4,The Immortal Life of Henrietta Lacks,,Rebecca Skloot,"Nonfiction,Science,History,Biography,Health,Medicine,Audiobook,Medical,Book Club,Biography Memoir",February 2nd 2010,"Crown Publishing Group

            ,",370,English,"36,574",4.07,"Ambassador Book Award for American Studies (2011),Audie Award for Nonfiction (2011),Chicago Tribune Heartland Prize for Nonfiction (2010),Wellcome Book Prize (2010),Puddly Award for Nonfiction (2011)"
5,"Eragon (The Inheritance Cycle, #1)","
        (The Inheritance Cycle #1)
",Christopher Paolini,"Fantasy,Young Adult,Fiction,Fantasy,Dragons,Adventure,Fantasy,Magic,Fantasy,High Fantasy,Science Fiction Fantasy,Young Adult,Young Adult Fantasy",Apr-05,"Alfred A. Knopf

            ,",503,English,"23,615",3.92,"Book Sense Book of the Year Award for Children's Literature (2004),Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007),South Carolina Book Award for Young Adult Book (2006),Grand Canyon Reader Award for Teen Book (2006),Nene Award (2006)"
6,Unaccustomed Earth,,Jhumpa Lahiri,"Fiction,Short Stories,Cultural,India,Contemporary,Literary Fiction,Asian Literature,Indian Literature,Literature,Adult,Book Club",2008,Knopf,352,English,"8,175",4.07,"Frank O'Connor International Short Story Award (2008),The Story Prize Nominee (2008),Commonwealth Writers' Prize for Best Book in South Asia and Europe (2009),Asian/Pacific American Award for Literature for Adult Fiction (2008)"
7,"A Dance with Dragons (A Song of Ice and Fire, #5)","
        (A Song of Ice and Fire #5)
",George R.R. Martin,"Fantasy,Fiction,Fantasy,Epic Fantasy,Science Fiction Fantasy,Fantasy,High Fantasy,Fantasy,Dragons,Adult,Adventure,Audiobook",July 12th 2011,Bantam,1125,English,"22,819",4.31,"Hugo Award Nominee for Best Novel (2012),Locus Award for Best Fantasy Novel (2012),World Fantasy Award Nominee for Best Novel (2012),SFX Award for Best Novel (2012),British Fantasy Award Nominee for Best Novel (2012)"
8,The Outlands  (The Outlands Saga #1),"
        (The Outlands Saga #1)
",Tyler Edwards,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fantasy,Thriller,Adventure,Apocalyptic,Post Apocalyptic,Action,Fiction",December 14th 2020,iFlow Creative,452,English,145,4.17,
9,"Clockwork Angel (The Infernal Devices, #1)","
        (The Infernal Devices #1)
",Cassandra Clare,"Fantasy,Young Adult,Romance,Fantasy,Paranormal,Science Fiction,Steampunk,Historical,Historical Fiction,Fiction,Fantasy,Urban Fantasy,Paranormal,Vampires",August 31st 2010,Margaret K. McElderry Books,479,English,"35,507",4.3,"RITA Award by Romance Writers of America Nominee for Young Adult Romance (2011),Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010),The Inky Awards for Silver Inky (2011),Lincoln Award Nominee (2013),Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book and for Goodreads Author (2010)"
10,"World Without End (Kingsbridge, #2)","
        (Kingsbridge #2)
",Ken Follett,"Historical,Historical Fiction,Fiction,Historical,Historical,Medieval,Audiobook,European Literature,British Literature,Novels,Romance,Fantasy",October 4th 2007,Dutton,1014,English,"12,064",4.26,
11,"Animal, Vegetable, Miracle: A Year of Food Life",,"Barbara Kingsolver,Steven L. Hopp,Camille Kingsolver,Richard A. Houser","Nonfiction,Food and Drink,Food,Autobiography,Memoir,Horticulture,Gardening,Health,Environment,Food and Drink,Cooking,Audiobook,Environment,Nature",May 1st 2007,HarperCollins Publishers,370,English,"10,942",4.01,Book Sense Book of the Year Award for Adult Nonfiction (2008)
12,The Five People You Meet in Heaven,"
        (The Five People You Meet in Heaven #1)
",Mitch Albom,"Fiction,Inspirational,Contemporary,Fantasy,Classics,Adult,Spirituality,Adult Fiction,Philosophy",September 23rd 2003,"Hyperion

            ,",196,English,"22,391",3.95,Lincoln Award Nominee (2008)
13,On Beauty,,Zadie Smith,"Fiction,Contemporary,Novels,Literary Fiction,European Literature,British Literature,Literature,Adult Fiction,Family,Race",August 29th 2006,"Penguin Books

            ,",445,English,"5,087",3.73,"Booker Prize Nominee (2005),Orange Prize for Fiction (2006),Somerset Maugham Award (2006),Anisfield-Wolf Book Award (2006),Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2006)"
14,The Known World,,,,,NaN,NaN,,NaN,,
15,Coraline,,,,,NaN,NaN,,NaN,,
16,"Graceling (Graceling Realm, #1)",,,,,NaN,NaN,,NaN,,
17,Year of Wonders,,,,,NaN,NaN,,NaN,,
18,"The Last Olympian (Percy Jackson and the Olympians, #5)",,,,,NaN,NaN,,NaN,,
19,Freedom,,,,,NaN,NaN,,NaN,,
20,"A Feast for Crows (A Song of Ice and Fire, #4)",,,,,NaN,NaN,,NaN,,
21,The Goldfinch,,,,,NaN,NaN,,NaN,,
22,Shantaram,"
        (Shantaram #1)
",Gregory David Roberts,"Fiction,Cultural,India,Travel,Adventure,Contemporary,Novels,Historical,Historical Fiction,Cultural,Asia,Mystery,Crime",2004,"Scribe

            ,",936,English,"14,359",4.23,Commonwealth Writers' Prize Nominee for Best First Book (the Pacific Region) (2004)
23,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",,,,,NaN,NaN,,NaN,,
24,Seabiscuit: An American Legend,,Laura Hillenbrand,"Nonfiction,History,Biography,Sports,Sports,Animals,Animals,Horses,Historical,Biography Memoir,North American Hi...,American History",July 1st 2003,"Ballantine Books

            ,",457,English,"4,577",4.18,"Book Sense Book of the Year Award for Adult Nonfiction (2002),William Hill Sports Book of the Year (2001),Puddly Award for Nonfiction (2004),National Book Critics Circle Award Nominee for General Nonfiction (2001)"
25,"The Maze Runner (The Maze Runner, #1)",,,,,NaN,NaN,,NaN,,
26,"The Millennium Trilogy (Millennium Trilogy, #1-3)",,,,,NaN,NaN,,NaN,,
27,"The Titan's Curse (Percy Jackson and the Olympians, #3)","
        (Percy Jackson and the Olympians #3)
","Rick Riordan,Cẩm Chi","Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Childrens,Mythology,Greek Mythology,Fantasy,Urban Fantasy",May 5th 2007,Puffin Books,320,English,"25,007",4.34,Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2009)
28,"Shadow Kiss (Vampire Academy, #3)","
        (Vampire Academy #3)
",Richelle Mead,"Young Adult,Paranormal,Vampires,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction",November 13th 2008,Razorbill,443,English,"11,830",4.32,Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)
29,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","
        (Percy Jackson and the Olympians #4)
",Rick Riordan,"Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Mythology,Greek Mythology,Childrens,Fantasy,Urban Fantasy",March 6th 2008,Hyperion Books for Children,361,English,"22,881",4.39,
30,The Elegance of the Hedgehog,,,,,NaN,NaN,,NaN,,
31,2666,"
        (2666 #1-5)
",Roberto Bolaño,"Fiction,Literature,Novels,European Literature,Spanish Literature,Literary Fiction,Cultural,Latin American,Mystery,Contemporary,Classics",October 1st 2004,"Anagrama

            ,",1128,Spanish,"4,113",4.13,"BTBA Best Translated Book Award Nominee for Fiction shortlist (2009),Magnesia Litera Nominee for Translation (Litera za překladovou knihu) (2013),PEN Translation Prize for Natasha Wimmer (2009),National Book Critics Circle Award for Fiction (2008),Premio Salambó (2004)"
32,"Frostbite (Vampire Academy, #2)","
        (Vampire Academy #2)
",Richelle Mead,"Young Adult,Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction",April 10th 2008,"Razorbill

            ,",327,English,"11,920",4.24,
33,"Pattern Recognition (Blue Ant, #1)",,,,,NaN,NaN,,NaN,,
34,"The Lost Symbol (Robert Langdon, #3)","
        (Robert Langdon #3)
",Dan Brown,"Fiction,Mystery,Thriller,Thriller,Mystery Thriller,Suspense,Adventure,Historical,Historical Fiction,Mystery,Crime,Novels",September 15th 2009,Doubleday,509,English,"28,037",3.73,"Goodreads Choice Award Nominee for Favorite Book, Fiction & Mystery/Thriller (2009),LovelyBooks Leserpreis Nominee for Krimi (2009)"
35,"Olive Kitteridge (Olive Kitteridge, #1)","
        (Olive Kitteridge #1)
",Elizabeth Strout,"Fiction,Short Stories,Literary Fiction,Contemporary,Book Club,Adult Fiction,Adult,Novels,Audiobook",March 25th 2008,Random House,270,English,"21,449",3.83,"Pulitzer Prize for Fiction (2009),Premio Bancarella (2010),National Book Critics Circle Award Nominee for Fiction (2008),Premi Llibreter de narrativa for Altres literatures (2010)"
36,The Last Lecture,,"Randy Pausch,Jeffrey Zaslow","Nonfiction,Autobiography,Memoir,Biography,Self Help,Inspirational,Philosophy,Biography,Autobiography,Biography Memoir,Audiobook",April 8th 2008,Hachette Books,206,English,"17,914",4.23,Audie Award for Biography/Memoir (2009)
37,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)","
        (Miss Peregrine's Peculiar Children #1)
",Ransom Riggs,"Fantasy,Young Adult,Fiction,Fantasy,Paranormal,Mystery,Horror,Historical,Historical Fiction,Science Fiction,Time Travel,Fantasy,Supernatural",June 7th 2011,Quirk,352,English,"63,064",3.91,"Grand Prix de l'Imaginaire for Roman jeunesse étranger (2015),Pennsylvania Young Readers' Choice Award for Young Adults (2014),California Young Readers Medal Nominee for Young Adult (2016),The Kitschies Nominee for Golden Tentacle (Debut) (2011),Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011)"
38,"Me Before You (Me Before You, #1)","
        (Me Before You #1)
",Jojo Moyes,"Romance,Fiction,Contemporary,Womens Fiction,Chick Lit,Adult,Adult Fiction,Audiobook,Romance,Contemporary Romance,Drama",July 30th 2013,"Penguin Books

            ,",369,English,"86,362",4.25,Goodreads Choice Award Nominee for Fiction (2013)
39,The Tales of Beedle the Bard,"
        (Hogwarts Library)
","J.K. Rowling,Lý Lan","Fantasy,Fiction,Young Adult,Short Stories,Childrens,Fantasy,Magic,Childrens,Middle Grade,Fantasy,Fairy Tales,Audiobook",December 4th 2008,Bloomsbury,109,English,"16,483",4.04,Locus Award Nominee for Art Book (2019)
40,Reading Lolita in Tehran: A Memoir in Books,,Azar Nafisi,"Nonfiction,Autobiography,Memoir,Biography,Cultural,Iran,Writing,Books About Books,Feminism,History,Biography Memoir,Womens",December 30th 2003,"Random House Trade Paperbacks

            ,",356,English,"8,006",3.62,"Book Sense Book of the Year Award for Adult Nonfiction (2004),Prix du Meilleur Livre Étranger for Essai (2004)"
41,The Plot Against America,,Philip Roth,"Fiction,Historical,Historical Fiction,Science Fiction,Alternate History,Literature,Novels,Science Fiction,Literature,American,Politics,Literature,Jewish",September 27th 2005,"Vintage International

            ,",391,English,"4,577",3.76,"Locus Award Nominee for Best SF Novel (2005),WH Smith Literary Award (2005),James Fenimore Cooper Prize (2005),National Book Critics Circle Award Nominee for Fiction (2004),Tähtivaeltaja Award Nominee (2006)"
42,World War Z: An Oral History of the Zombie War,,,,,NaN,NaN,,NaN,,
43,Thirteen Reasons Why,,,,,NaN,NaN,,NaN,,
44,The Ocean at the End of the Lane,,Neil Gaiman,"Fantasy,Fiction,Magical Realism,Horror,Audiobook,Young Adult,Adult,Science Fiction Fantasy,Adult Fiction",June 18th 2013,William Morrow Books,181,English,"51,168",4,"Nebula Award Nominee for Best Novel (2013),Locus Award for Best Fantasy Novel (2014),World Fantasy Award Nominee for Best Novel (2014),Mythopoeic Fantasy Award Nominee for Adult Literature (2014),Specsavers National Book Award for Book of the Year (2013)"
45,"Wolf Hall (Thomas Cromwell, #1)","
        (Thomas Cromwell #1)
",Hilary Mantel,"Historical,Historical Fiction,Fiction,Historical,European Literature,British Literature,Audiobook,Literary Fiction,Novels,Unfinished,Literature",2010,"HarperCollins Publishers Ltd

            ,",653,English,"17,126",3.87,"Booker Prize (2009),Orange Prize Nominee for Fiction Shortlist (2010),James Tait Black Memorial Prize Nominee for Fiction (2009),Costa Book Award Nominee for Novel  (2009),Magnesia Litera Nominee for Translation (Litera za překladovou knihu) (2011)"
46,"Uglies (Uglies, #1)","
        (Uglies  #1)
",Scott Westerfeld,"Young Adult,Science Fiction,Dystopia,Science Fiction,Fiction,Fantasy,Romance,Young Adult,Teen,Adventure,Apocalyptic,Post Apocalyptic",February 8th 2005,Simon Pulse,425,English,"24,332",3.85,"Georgia Peach Book Award Nominee for Honor book (2008),Golden Duck Award for Young Adult (Hal Clement Award) (2006),Ditmar Award Nominee for Best Novel (2006),South Carolina Book Award Nominee for Young Adult Book Award (2008),Rhode Island Teen Book Award Nominee (2007)"
47,"Hush, Hush (Hush, Hush, #1)","
        (Hush, Hush #1)
",Becca Fitzpatrick,"Young Adult,Fantasy,Romance,Fantasy,Paranormal,Paranormal,Angels,Romance,Paranormal Romance,Fiction,Fantasy,Supernatural,Fantasy,Urban Fantasy",October 13th 2009,Simon & Schuster BFYR,391,English,"26,574",3.94,Goodreads Choice Award Nominee for Young Adult Series (2009)
48,A Visit from the Goon Squad,,Jennifer Egan,"Fiction,Contemporary,Music,Short Stories,Literary Fiction,Novels,Adult Fiction,Literature,Book Club",June 8th 2010,Knopf,288,English,"18,457",3.67,"Pulitzer Prize for Fiction (2011),Orange Prize Nominee for Fiction Longlist (2011),PEN/Faulkner Award for Fiction Nominee (2011),Los Angeles Times Book Prize for Fiction (2010),National Book Critics Circle Award for Fiction (2010)"
49,"City of Fallen Angels (The Mortal Instruments, #4)","
        (The Mortal Instruments #4)
",Cassandra Clare,"Fantasy,Young Adult,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Paranormal,Vampires,Fiction,Paranormal,Angels,Fantasy,Supernatural",April 5th 2011,Margaret K. McElderry Books,425,English,"24,684",4.09,Goodreads Choice Award for Goodreads Author and Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011)
50,"Inkheart (Inkworld, #1)","
        (Inkworld #1)
","Cornelia Funke,Anthea Bell","Fantasy,Young Adult,Fiction,Childrens,Middle Grade,Childrens,Adventure,Fantasy,Magic,Writing,Books About Books,Young Adult,Young Adult Fantasy",May 1st 2005,"Scholastic Paperbacks

            ,",563,English,"12,718",3.89,"Locus Award Nominee for Best Young Adult Book (2004),Mythopoeic Fantasy Award Nominee for Children's Literature (2004),Zilveren Griffel (2006),Grand Prix de l'Imaginaire Nominee for Roman jeunesse (2004),Nene Award (2009)"
51,"Blood Promise (Vampire Academy, #4)","
        (Vampire Academy #4)
",Richelle Mead,"Young Adult,Paranormal,Vampires,Fantasy,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction",August 25th 2009,Razorbill,503,English,"10,193",4.29,"Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010),Goodreads Choice Award Nominee for Young Adult Series (2009)"
52,Peace Like a River,,Leif Enger,"Fiction,Historical,Historical Fiction,Book Club,Novels,Adult Fiction,Literary Fiction,Adult,Young Adult,Coming Of Age,Contemporary",August 7th 2002,"Atlantic Monthly Press

            ,",312,English,"8,203",3.96,"Book Sense Book of the Year Award for Adult Fiction (2002),Independent Publisher Book Award (IPPY) for Fiction - General (2002),ALA Alex Award (2002),International Dublin Literary Award Nominee (2003)"
53,"Dead Until Dark (Sookie Stackhouse, #1)","
        (Sookie Stackhouse #1)
",Charlaine Harris,"Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Fiction,Mystery,Romance,Paranormal Romance,Fantasy,Supernatural",May 1st 2001,Ace Books,292,English,"18,755",3.96,"Locus Award Nominee for Best Fantasy Novel (2002),Anthony Award for Best Paperback Original (2002),Dilys Award Nominee (2002),Agatha Award Nominee for Best Novel (2001),Compton Crook Award Nominee (2002)"
54,Let the Great World Spin,,Colum McCann,"Fiction,Historical,Historical Fiction,New York,Book Club,Novels,Contemporary,Literary Fiction,Literature,Historical",June 23rd 2009,"Random House

            ,",351,English,"9,328",3.92,"National Book Award for Fiction (2009),Ambassador Book Award for Fiction (2010),NAIBA Book of the Year for Fiction (2010),Goodreads Choice Award Nominee for Fiction (2009),International Dublin Literary Award (2011)"
55,The Yiddish Policemen's Union,,Michael Chabon,"Fiction,Mystery,Science Fiction,Science Fiction,Alternate History,Mystery,Crime,Literature,Jewish,Fantasy,Novels,Literature",May 1st 2007,HarperCollins,414,English,"7,161",3.71,"Hugo Award for Best Novel (2008),Nebula Award for Best Novel (2007),Locus Award for Best Science Fiction Novel (2008),Hammett Prize Nominee (2007),California Book Award for Fiction (Gold) (2007)"
56,Nickel and Dimed: On (Not) Getting by in America,,Barbara Ehrenreich,"Nonfiction,Sociology,Politics,Economics,Autobiography,Memoir,Social Movements,Social Justice,Social Issues,Poverty,Academic,School,Social Issues",May 1st 2002,"Owl Books (Henry Holt)

            ,",240,English,"6,692",3.64,"Los Angeles Times Book Prize for Current Interest (2001),ALA Alex Award (2002)"
57,Running with Scissors,,Augusten Burroughs,"Autobiography,Memoir,Nonfiction,Biography,Humor,Biography Memoir,Biography,Autobiography,LGBT,Psychology,Mental Health,Mental Illness",June 1st 2003,"Picador USA

            ,",304,English,"12,883",3.73,
58,1Q84 (1Q84 #1-3),"
        (1Q84 #1-3)
","Haruki Murakami,Jay Rubin,Philip Gabriel","Fiction,Fantasy,Magical Realism,Cultural,Japan,Science Fiction,Asian Literature,Japanese Literature,Contemporary,Literature,Novels",October 25th 2011,"Knopf

            ,",925,English,"19,418",3.92,"Andrew Carnegie Medal Nominee for Fiction (2012),Premi Ictineu for Millor novel·la traduïda (2012),Goodreads Choice Award for Fiction (2011),International Dublin Literary Award Nominee for Shortlist (2013)"
59,The Invention of Hugo Cabret,,Brian Selznick,"Historical,Historical Fiction,Fiction,Young Adult,Childrens,Childrens,Middle Grade,Sequential Art,Graphic Novels,Fantasy,Mystery,Historical",Mar-07,Scholastic Press,534,English,"15,337",4.19,"Caldecott Medal (2008),Book Sense Book of the Year Award for Children's Literature (2008),Flicker Tale Children's Book Award (2009),Vermont Golden Dome Book Award Nominee (2009),Deutscher Jugendliteraturpreis Nominee for Kinderbuch (2009)"
60,"The Lost Hero (The Heroes of Olympus, #1)","
        (The Heroes of Olympus #1)
",Rick Riordan,"Fantasy,Young Adult,Fantasy,Mythology,Childrens,Middle Grade,Fiction,Adventure,Childrens,Mythology,Greek Mythology,Fantasy,Urban Fantasy",October 12th 2010,Disney-Hyperion Books,576,English,"24,639",4.31,"West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2011),Evergreen Teen Book Award (2013),Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book (2010)"
61,"Phantom Wolf (Phantom Wolf, #1)","
        (Phantom Wolf #1)
",Kia Carrington-Russell,"Fantasy,Contemporary,Young Adult,Romance,Fantasy,Paranormal,Drama,Fiction",June 19th 2014,"Crystal Publishing

            ,",191,English,48,3.5,
62,Saving CeeCee Honeycutt,,"Beth Hoffman,Jenna Lamia","Fiction,Historical,Historical Fiction,Womens Fiction,Chick Lit,American,Southern,Young Adult,Coming Of Age,Adult Fiction,Audiobook,Adult,Young Adult",January 12th 2010,"Penguin Audio

            ,",10,English,"8,924",3.92,Goodreads Choice Award Nominee for Fiction and for Debut Author  (2010)
63,Life Expectancy,,Dean Koontz,"Horror,Fiction,Thriller,Mystery,Suspense,Fantasy,Thriller,Mystery Thriller,Audiobook,Humor",October 25th 2005,"Bantam Books

            ,",476,English,"1,998",3.95,Gumshoe Award Nominee for Best Thriller (2005)
64,"Trust: A New Beginning (Trust Trilogy, #1)","
        (TRUST [8-part] #1)
",Cristiane Serruya,"Romance,Adult Fiction,Erotica,Contemporary,Romance,Contemporary Romance,Dark,Fiction,Suspense,Adult,Business,Amazon",November 14th 2012,CreateSpace,464,English,146,3.49,Readers' Favorite Book Award for Romance - General (Gold Medal) (2013)
65,"Hard Eight (Stephanie Plum, #8)","
        (Stephanie Plum #8)
","Janet Evanovich,Lorelei King","Mystery,Fiction,Humor,Womens Fiction,Chick Lit,Romance,Mystery,Crime,Humor,Comedy,Thriller,Mystery Thriller,Contemporary",June 16th 2003,"St. Martin's Press

            ,",326,English,"2,326",4.14,"All About Romance (AAR) Annual Reader Poll for Most Disappointing Read (2003),Lefty Award Nominee (2003)"
66,"Six of Crows (Six of Crows, #1)","
        (Six of Crows  #1)
",Leigh Bardugo,"Fantasy,Young Adult,Fiction,Young Adult,Young Adult Fantasy,Adventure,Fantasy,Magic,LGBT,Romance,Fantasy,High Fantasy",September 29th 2015,Henry Holt & Company,465,English,"63,814",4.47,"Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017),Rhode Island Teen Book Award Nominee (2018),Evergreen Teen Book Award Nominee (2018),Milwaukee County Teen Book Award Nominee (2017),Lincoln Award (2018)"
67,"Across the Nightingale Floor (Tales of the Otori, #1)","
        (Tales of the Otori #1)
",Lian Hearn,"Fantasy,Fiction,Historical,Historical Fiction,Young Adult,Cultural,Japan,Historical,Romance,Adventure,Historical Fiction,Historical Fantasy",January 1st 2002,Riverhead Books,305,English,"2,255",4.06,"Wirral Paperback of the Year (2004),Peter Pan Award,Deutscher Jugendliteraturpreis for Preis der Jugendjury (2004),Lincoln Award Nominee (2007),Carnegie Medal Nominee (2002)"
68,Bossypants,,Tina Fey,"Nonfiction,Autobiography,Memoir,Humor,Biography,Audiobook,Humor,Comedy,Biography,Autobiography,Biography Memoir,Feminism",April 5th 2011,Reagan Arthur Books,283,English,"40,257",3.95,"Audie Award for Audiobook of the Year (2012),Grammy Award Nominee for Best Spoken Word Album (2012),Goodreads Choice Award for Humor and Nominee for Favorite Book (2011)"
69,"Dead Witch Walking (The Hollows, #1)","
        (The Hollows #1)
",Kim Harrison,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Paranormal,Vampires,Paranormal,Witches,Fantasy,Magic,Fiction,Fantasy,Supernatural,Romance,Paranormal Romance",July 1st 2004,"HarperTorch

            ,",416,English,"5,056",4.02,
70,"Iron Kissed (Mercy Thompson, #3)","
        (Mercy Thompson #3)
",Patricia Briggs,"Fantasy,Urban Fantasy,Fantasy,Fantasy,Paranormal,Romance,Shapeshifters,Werewolves,Paranormal,Vampires,Romance,Paranormal Romance,Paranormal,Shapeshifters,Fiction",January 2nd 2008,Ace,287,English,"4,068",4.31,DABWAHA Romance Tournament for Best Romance of the Year & Best Novel with Romantic Elements (2009)
71,Duma Key,,Stephen King,"Horror,Fiction,Thriller,Fantasy,Fantasy,Supernatural,Mystery,Audiobook,Fantasy,Paranormal,Suspense",January 22nd 2008,Scribner Book Company,611,English,"5,934",3.94,"Bram Stoker Award for Best Novel (2008),Audie Award for Fiction (2009)"
72,The Children of Húrin,"
        (Middle-earth Universe)
","J.R.R. Tolkien,Christopher Tolkien,Alan       Lee","Fantasy,Fiction,Classics,Fantasy,High Fantasy,Fantasy,Epic Fantasy,Adventure,Science Fiction Fantasy,Young Adult,Childrens",April 16th 2007,HarperCollins,313,English,"3,602",3.97,Tähtifantasia Award Nominee (2008)
73,The Nix,,Nathan  Hill,"Fiction,Historical,Historical Fiction,Audiobook,Literary Fiction,Contemporary,Novels,Historical,Adult Fiction,Literature",August 30th 2016,Knopf,640,English,"7,975",4.05,"Los Angeles Times Book Prize for Art Seidenbaum Award for First Fiction (2016),Goodreads Choice Award Nominee for Fiction & for Debut Goodreads Author (2016)"
74,"Lirael (Abhorsen, #2)","
        (Abhorsen #2)
",Garth Nix,"Fantasy,Young Adult,Fiction,Fantasy,Magic,Adventure,Fantasy,High Fantasy,Young Adult,Young Adult Fantasy,Science Fiction Fantasy,Audiobook",December 30th 2015,"Eos

            ,",464,English,"3,306",4.24,West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2003)
75,Peony in Love,,Lisa See,"Historical,Historical Fiction,Fiction,Cultural,China,Historical,Romance,Cultural,Asia,Fantasy,Literature,Asian Literature,Adult Fiction",June 26th 2007,Random House,273,English,"4,614",3.62,
76,The Purpose Driven Life: What on Earth Am I Here for?,,Rick Warren,"Christian,Nonfiction,Religion,Self Help,Spirituality,Religion,Christianity,Religion,Faith,Christian,Christian Living,Inspirational",February 1st 2007,"Zondervan Publishing Company

            ,",334,English,"3,485",3.94,ECPA Christian Book Award for Christian Book of the Year (2003)
77,Half the Sky: Turning Oppression Into Opportunity for Women Worldwide,,"Nicholas D. Kristof,Sheryl WuDunn","Nonfiction,Feminism,Social Movements,Social Justice,Womens,Politics,Sociology,Cultural,Africa,Gender,Education",September 8th 2009,"Knopf Publishing Group

            ,",294,English,"5,208",4.26,Los Angeles Times Book Prize Nominee for Current Interest (2009)
78,"The Devil Wears Prada (The Devil Wears Prada, #1)","
        (The Devil Wears Prada #1)
",Lauren Weisberger,"Womens Fiction,Chick Lit,Fiction,Contemporary,Romance,Adult,Humor,Adult Fiction,Couture,Fashion,Novels",May 30th 2006,"Anchor Books

            ,",432,English,"9,684",3.77,
79,"Wolves of the Calla (The Dark Tower, #5)","
        (The Dark Tower #5)
","Stephen King,Bernie Wrightson","Fantasy,Fiction,Horror,Science Fiction,Westerns,Adventure,Audiobook,Science Fiction Fantasy,Young Adult",February 1st 2006,"Pocket Books

            ,",931,English,"4,657",4.16,Bram Stoker Award Nominee for Best Novel (2003)
80,American Born Chinese,,Gene Luen Yang,"Sequential Art,Graphic Novels,Young Adult,Sequential Art,Comics,Fiction,Fantasy,Graphic Novels Comics,Young Adult,Teen,Young Adult,Coming Of Age,Academic,School",September 5th 2006,"First Second

            ,",240,English,"8,520",3.88,"Michael L. Printz Award (2007),James Cook Book Award Nominee (2007),Will Eisner Comic Industry Awards for Best Graphic Album - New (2007),National Book Award Finalist for Young People's Literature (2006),One Book One San Diego for Young Adult (2014)"
81,The Lace Reader,"
        (Salem #1)
",Brunonia Barry,"Fiction,Mystery,Historical,Historical Fiction,Magical Realism,Fantasy,Contemporary,Adult Fiction,Fantasy,Paranormal,Book Club",Jul-07,"Flap Jacket Press

            ,",353,English,"4,389",3.48,
